CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO;SCT_ID;SCT_TERMINO;GRUPOS_JERARQUICOS
5674398;bajaten;;Sensible;Manual;Vigente;;;;;;;
7352978;baldmin;;Insensible;Manual;Vigente;;;;;;;
7772297;bálsamo analgésico;;Insensible;Manual;Vigente;;;;;;;
7772182;balsan;;Insensible;Manual;Vigente;;;;;;;
5674407;bantix;;Sensible;Manual;Vigente;;;;;;;
7335358;baraclude;;Insensible;Manual;Vigente;;;;;;;
7713136;bariéderm;;Insensible;Manual;Vigente;;;;;;;
7772184;bariésun;;Insensible;Manual;Vigente;;;;;;;
5674409;batrafen;;Sensible;Manual;Vigente;;;;;;;
7772185;bauxol;;Insensible;Manual;Vigente;;;;;;;
7772186;baxemin;;Insensible;Manual;Vigente;;;;;;;
5674411;baycip;;Sensible;Manual;Vigente;;;;;;;
7772187;baycuten;;Insensible;Manual;Vigente;;;;;;;
7772188;bbdent;;Insensible;Manual;Vigente;;;;;;;
7772189;bbind;;Insensible;Manual;Vigente;;;;;;;
7772190;bectam;;Insensible;Manual;Vigente;;;;;;;
5674420;bediatil;;Sensible;Manual;Vigente;;;;;;;
5702825;bejowa;;Sensible;Manual;Vigente;;;;;;;
7772191;belara;;Insensible;Manual;Vigente;;;;;;;
7352398;belomet;;Insensible;Manual;Vigente;;;;;;;
7772194;bemaz;;Insensible;Manual;Vigente;;;;;;;
7772195;bemetad;;Insensible;Manual;Vigente;;;;;;;
7772196;bendavar;;Insensible;Manual;Vigente;;;;;;;
7772197;benlysta;;Insensible;Manual;Vigente;;;;;;;
7643893;bentley;;Insensible;Manual;Vigente;;;;;;;
7557621;benzac AC;;Insensible;Manual;Vigente;;;;;;;
7317090;beof;;Insensible;Manual;Vigente;;;;;;;
7772199;bepanthol;;Insensible;Manual;Vigente;;;;;;;
7772203;bequium;;Insensible;Manual;Vigente;;;;;;;
7772204;beriplast P combi - set;;Insensible;Manual;Vigente;;;;;;;
7462626;berocca;;Insensible;Manual;Vigente;;;;;;;
5674423;berodual;;Sensible;Manual;Vigente;;;;;;;
5674425;bersen;;Sensible;Manual;Vigente;;;;;;;
7772207;bescamin;;Insensible;Manual;Vigente;;;;;;;
7772211;beserol - s;;Insensible;Manual;Vigente;;;;;;;
5674430;betacar;;Sensible;Manual;Vigente;;;;;;;
7772212;betaferon;;Insensible;Manual;Vigente;;;;;;;
7772214;betagen;;Insensible;Manual;Vigente;;;;;;;
5674431;betaloc ZOK;;Sensible;Manual;Vigente;;;;;;;
5674434;betaplex;;Sensible;Manual;Vigente;;;;;;;
7772217;betaserc;;Insensible;Manual;Vigente;;;;;;;
7162937;betina;;Insensible;Manual;Vigente;;;;;;;
7772218;betis;;Insensible;Manual;Vigente;;;;;;;
7772219;betoptic;;Insensible;Manual;Vigente;;;;;;;
5674447;bevitex;;Sensible;Manual;Vigente;;;;;;;
7772220;biafine;;Insensible;Manual;Vigente;;;;;;;
7772225;bilacton;;Insensible;Manual;Vigente;;;;;;;
5674452;bilaten;;Sensible;Manual;Vigente;;;;;;;
7772226;bilaxil;;Insensible;Manual;Vigente;;;;;;;
7772228;bilidren;;Insensible;Manual;Vigente;;;;;;;
7772230;bio electro;;Insensible;Manual;Vigente;;;;;;;
7477203;biocord;;Insensible;Manual;Vigente;;;;;;;
5674454;bioflora;;Sensible;Manual;Vigente;;;;;;;
7633971;biogaia;;Insensible;Manual;Vigente;;;;;;;
7301115;biogel;;Insensible;Manual;Vigente;;;;;;;
7396543;biogrip;;Insensible;Manual;Vigente;;;;;;;
7356833;bioinsugen;;Insensible;Manual;Vigente;;;;;;;
5674456;biolactus;;Sensible;Manual;Vigente;;;;;;;
7772231;biolev;;Insensible;Manual;Vigente;;;;;;;
7772234;biomood;;Insensible;Manual;Vigente;;;;;;;
7456875;bion;;Insensible;Manual;Vigente;;;;;;;
7772235;biopiel;;Insensible;Manual;Vigente;;;;;;;
5674457;biopsol;;Sensible;Manual;Vigente;;;;;;;
7772236;bioticaps;;Insensible;Manual;Vigente;;;;;;;
7772242;bioval;;Insensible;Manual;Vigente;;;;;;;
7666279;biretix;;Insensible;Manual;Vigente;;;;;;;
7772243;biskam;;Insensible;Manual;Vigente;;;;;;;
5674461;bisolvon;;Sensible;Manual;Vigente;;;;;;;
7573373;bisopril;;Insensible;Manual;Vigente;;;;;;;
7212302;bivir;;Insensible;Manual;Vigente;;;;;;;
7772245;bladuril;;Insensible;Manual;Vigente;;;;;;;
7772247;blastoferon;;Insensible;Manual;Vigente;;;;;;;
7772249;blaxitec;;Insensible;Manual;Vigente;;;;;;;
7772251;bleocris 15;;Insensible;Manual;Vigente;;;;;;;
7772254;blisprotex;;Insensible;Manual;Vigente;;;;;;;
7311815;blissel;;Insensible;Manual;Vigente;;;;;;;
7431705;blistex;;Insensible;Manual;Vigente;;;;;;;
5674463;blocar;;Sensible;Manual;Vigente;;;;;;;
7299514;blonax;;Insensible;Manual;Vigente;;;;;;;
5676399;blopress;;Sensible;Manual;Vigente;;;;;;;
5676400;blox;;Sensible;Manual;Vigente;;;;;;;
7772255;bonalfa;;Insensible;Manual;Vigente;;;;;;;
7772256;bondronat;;Insensible;Manual;Vigente;;;;;;;
7772258;bonviva;;Insensible;Manual;Vigente;;;;;;;
7772262;boostrix;;Insensible;Manual;Vigente;;;;;;;
7294084;botox;;Insensible;Manual;Vigente;;;;;;;
5676402;bramedil;;Sensible;Manual;Vigente;;;;;;;
7214199;bratesse;;Insensible;Manual;Vigente;;;;;;;
7341248;brevex;;Insensible;Manual;Vigente;;;;;;;
5676403;brexotide;;Sensible;Manual;Vigente;;;;;;;
7772266;brexovent LF;;Insensible;Manual;Vigente;;;;;;;
7772267;bridion;;Insensible;Manual;Vigente;;;;;;;
7772268;brilinta;;Insensible;Manual;Vigente;;;;;;;
7409865;brimopress;;Insensible;Manual;Vigente;;;;;;;
7772269;brintellix;;Insensible;Manual;Vigente;;;;;;;
5677237;britaxol;;Sensible;Manual;Vigente;;;;;;;
7772270;brixia;;Insensible;Manual;Vigente;;;;;;;
7299246;brodifac;;Insensible;Manual;Vigente;;;;;;;
7772271;brofugal;;Insensible;Manual;Vigente;;;;;;;
7350313;bromex;;Insensible;Manual;Vigente;;;;;;;
7772274;bromfin;;Insensible;Manual;Vigente;;;;;;;
7310896;broncard;;Insensible;Manual;Vigente;;;;;;;
7772276;broncatox;;Insensible;Manual;Vigente;;;;;;;
7495701;broncho - vaxom;;Insensible;Manual;Vigente;;;;;;;
7729816;broncodeína;;Insensible;Manual;Vigente;;;;;;;
7772278;broncodual;;Insensible;Manual;Vigente;;;;;;;
7609534;broncot;;Insensible;Manual;Vigente;;;;;;;
7377473;broncotusilan;;Insensible;Manual;Vigente;;;;;;;
5677238;brondilat;;Sensible;Manual;Vigente;;;;;;;
7389067;brontal;;Insensible;Manual;Vigente;;;;;;;
7352070;brontec;;Insensible;Manual;Vigente;;;;;;;
7772286;bropil LF;;Insensible;Manual;Vigente;;;;;;;
7772287;brufen;;Insensible;Manual;Vigente;;;;;;;
7355830;bucogerm;;Insensible;Manual;Vigente;;;;;;;
7772290;bucoseptil;;Insensible;Manual;Vigente;;;;;;;
5677247;budasmal;;Sensible;Manual;Vigente;;;;;;;
7772291;budenofalk;;Insensible;Manual;Vigente;;;;;;;
7772292;bupredol;;Insensible;Manual;Vigente;;;;;;;
7350349;burten;;Insensible;Manual;Vigente;;;;;;;
5677248;buscapina;;Sensible;Manual;Vigente;;;;;;;
7403316;butartrol;;Insensible;Manual;Vigente;;;;;;;
7772293;butocort;;Insensible;Manual;Vigente;;;;;;;
7297861;buton;;Insensible;Manual;Vigente;;;;;;;
5677249;Butotal;;Sensible;Manual;Vigente;;;;;;;
7772296;butrin;;Insensible;Manual;Vigente;;;;;;;
7317183;buxon;;Insensible;Manual;Vigente;;;;;;;
5677250;byetta;;Sensible;Manual;Vigente;;;;;;;
7338790;cabertrix;;Insensible;Manual;Vigente;;;;;;;
7772298;cade L;;Insensible;Manual;Vigente;;;;;;;
5677255;caduet;;Sensible;Manual;Vigente;;;;;;;
5677256;cafiaspirina;;Sensible;Manual;Vigente;;;;;;;
5677257;calcefor;;Sensible;Manual;Vigente;;;;;;;
7425593;calcigran;;Insensible;Manual;Vigente;;;;;;;
5677264;Calcimax D3 - 400;;Sensible;Manual;Vigente;;;;;;;
7403552;calcivorin;;Insensible;Manual;Vigente;;;;;;;
7772299;caldeval;;Insensible;Manual;Vigente;;;;;;;
5677265;caleobrol;;Sensible;Manual;Vigente;;;;;;;
7772300;calfetos;;Insensible;Manual;Vigente;;;;;;;
7772304;calmatol;;Insensible;Manual;Vigente;;;;;;;
7772305;calmobet;;Insensible;Manual;Vigente;;;;;;;
7353448;calmosedan;;Insensible;Manual;Vigente;;;;;;;
5677267;calmurid;;Sensible;Manual;Vigente;;;;;;;
7649820;calorub;;Insensible;Manual;Vigente;;;;;;;
5677270;cam;;Sensible;Manual;Vigente;;;;;;;
7236900;camptosar;;Insensible;Manual;Vigente;;;;;;;
5677271;cancidas;;Sensible;Manual;Vigente;;;;;;;
7300846;canesten;;Insensible;Manual;Vigente;;;;;;;
7180433;capefas;;Insensible;Manual;Vigente;;;;;;;
7772308;capent;;Insensible;Manual;Vigente;;;;;;;
7772310;capimax;;Insensible;Manual;Vigente;;;;;;;
7772311;caprimida D;;Insensible;Manual;Vigente;;;;;;;
7772312;capsure;;Insensible;Manual;Vigente;;;;;;;
7772313;carbocaine;;Insensible;Manual;Vigente;;;;;;;
7772315;carbolit;;Insensible;Manual;Vigente;;;;;;;
7417250;carboron;;Insensible;Manual;Vigente;;;;;;;
7772317;carbotos;;Insensible;Manual;Vigente;;;;;;;
7722839;cardiazem;;Insensible;Manual;Vigente;;;;;;;
5677272;cardicon retard;;Insensible;Manual;Vigente;;;;;;;
7377177;cardioaspirina;;Insensible;Manual;Vigente;;;;;;;
5677274;cardiolen;;Sensible;Manual;Vigente;;;;;;;
7772318;cardiomin;;Insensible;Manual;Vigente;;;;;;;
7772319;cardionase;;Insensible;Manual;Vigente;;;;;;;
5677278;cardioplus;;Sensible;Manual;Vigente;;;;;;;
