STK_CONCEPTO;CATEGORIA;CATEGORIA_TEXTO;ESTADO;VALIDADO;MODELADO;USUARIO_VALIDA;FECHA_VALIDA;CONSULTAR;OBSERVACION;COMERCIALIZADO;GRADO_DEFINICION;FECHA_REGISTRO;USUARIO_REGISTRO
297;404684003;Problemas;1;0;0;;;0;;0;;;
298;404684003;Problemas;1;0;0;;;0;;0;;;
299;404684003;Problemas;1;0;0;;;0;;0;;;
300;404684003;Problemas;1;0;0;;;0;;0;;;
301;404684003;Problemas;1;0;0;;;0;;0;;;
302;404684003;Problemas;1;0;0;;;0;;0;;;
303;404684003;Problemas;1;0;0;;;0;;0;;;
304;404684003;Problemas;1;0;0;;;0;;0;;;
305;404684003;Problemas;1;0;0;;;0;;0;;;
306;404684003;Problemas;1;0;0;;;0;;0;;;
307;404684003;Problemas;1;0;0;;;0;;0;;;
308;404684003;Problemas;1;0;0;;;0;;0;;;
309;404684003;Problemas;1;0;0;;;0;;0;;;
310;404684003;Problemas;1;0;0;;;0;;0;;;
311;404684003;Problemas;1;0;0;;;0;;0;;;
312;404684003;Problemas;1;0;0;;;0;;0;;;
313;404684003;Problemas;1;0;0;;;0;;0;;;
314;404684003;Problemas;1;0;0;;;0;;0;;;
315;404684003;Problemas;1;0;0;;;0;;0;;;
316;404684003;Problemas;1;0;0;;;0;;0;;;
317;404684003;Problemas;1;0;0;;;0;;0;;;
318;404684003;Problemas;1;0;0;;;0;;0;;;
319;404684003;Problemas;1;0;0;;;0;;0;;;
320;404684003;Problemas;1;0;0;;;0;;0;;;
321;404684003;Problemas;1;0;0;;;0;;0;;;
322;404684003;Problemas;1;0;0;;;0;;0;;;
323;404684003;Problemas;1;0;0;;;0;;0;;;
324;404684003;Problemas;1;0;0;;;0;;0;;;
325;404684003;Problemas;1;0;0;;;0;;0;;;
326;404684003;Problemas;1;0;0;;;0;;0;;;
327;404684003;Problemas;1;0;0;;;0;;0;;;
328;404684003;Problemas;1;0;0;;;0;;0;;;
329;404684003;Problemas;1;0;0;;;0;;0;;;
330;404684003;Problemas;1;0;0;;;0;;0;;;
331;404684003;Problemas;1;0;0;;;0;;0;;;
332;404684003;Problemas;1;0;0;;;0;;0;;;
333;404684003;Problemas;1;0;0;;;0;;0;;;
334;404684003;Problemas;1;0;0;;;0;;0;;;
335;404684003;Problemas;1;0;0;;;0;;0;;;
336;404684003;Problemas;1;0;0;;;0;;0;;;
337;404684003;Problemas;1;0;0;;;0;;0;;;
338;404684003;Problemas;1;0;0;;;0;;0;;;
339;404684003;Problemas;1;0;0;;;0;;0;;;
340;404684003;Problemas;1;0;0;;;0;;0;;;
341;404684003;Problemas;1;0;0;;;0;;0;;;
342;404684003;Problemas;1;0;0;;;0;;0;;;
343;404684003;Problemas;1;0;0;;;0;;0;;;
344;404684003;Problemas;1;0;0;;;0;;0;;;
345;404684003;Problemas;1;0;0;;;0;;0;;;
346;404684003;Problemas;1;0;0;;;0;;0;;;
347;404684003;Problemas;1;0;0;;;0;;0;;;
348;404684003;Problemas;1;0;0;;;0;;0;;;
349;404684003;Problemas;1;0;0;;;0;;0;;;
350;404684003;Problemas;1;0;0;;;0;;0;;;
351;404684003;Problemas;1;0;0;;;0;;0;;;
352;404684003;Problemas;1;0;0;;;0;;0;;;
353;404684003;Problemas;1;0;0;;;0;;0;;;
354;404684003;Problemas;1;0;0;;;0;;0;;;
355;404684003;Problemas;1;0;0;;;0;;0;;;
357;404684003;Problemas;1;0;0;;;0;;0;;;
358;404684003;Problemas;1;0;0;;;0;;0;;;
359;404684003;Problemas;1;0;0;;;0;;0;;;
360;404684003;Problemas;1;0;0;;;0;;0;;;
361;404684003;Problemas;1;0;0;;;0;;0;;;
362;272379006;evento (evento);1;0;0;;;0;;0;;;
363;404684003;Problemas;1;0;0;;;0;;0;;;
364;404684003;Problemas;1;0;0;;;0;;0;;;
365;404684003;Problemas;1;0;0;;;0;;0;;;
366;404684003;Problemas;1;0;0;;;0;;0;;;
367;404684003;Problemas;1;0;0;;;0;;0;;;
368;404684003;Problemas;1;0;0;;;0;;0;;;
369;404684003;Problemas;1;0;0;;;0;;0;;;
370;404684003;Problemas;1;0;0;;;0;;0;;;
371;404684003;Problemas;1;0;0;;;0;;0;;;
372;404684003;Problemas;1;0;0;;;0;;0;;;
373;404684003;Problemas;1;0;0;;;0;;0;;;
374;404684003;Problemas;1;0;0;;;0;;0;;;
375;404684003;Problemas;1;0;0;;;0;;0;;;
376;404684003;Problemas;1;0;0;;;0;;0;;;
377;404684003;Problemas;1;0;0;;;0;;0;;;
378;404684003;Problemas;1;0;0;;;0;;0;;;
